hierarchy;id_category;prazo
26909 - Alimentos e Bebidas/Necessidades para Cozimento/Fermentos;26909;7 - 30
26910 - Alimentos e Bebidas/Necessidades para Cozimento/Mistura em Pó para Cozinhar;26910;7 - 30
27013 - Calçados/Rasteiras/Rasteiras;27013;7 - 30
26912 - Alimentos e Bebidas/Necessidades para Cozimento/Corante Alimentício;26912;7 - 30
26913 - Alimentos e Bebidas/Necessidades para Cozimento/Decoração para Alimentos;26913;7 - 30
22818 - Celulares e Acessórios/Películas Protetoras/Película de Vidro Android;22818;7 - 30
26915 - Alimentos e Bebidas/Café da Manhã/Geleias e Cremes;26915;7 - 30
27015 - Calçados/Cuidados de Calçados & Acessórios/Cuidados de Calçados & Acessórios;27015;7 - 30
22821 - Celulares e Acessórios/Películas Protetoras/Transparente;22821;7 - 30
26918 - Alimentos e Bebidas/Bebidas/Chás;26918;7 - 30
26919 - Alimentos e Bebidas/Bebidas/Achocolatados;26919;7 - 30
26920 - Alimentos e Bebidas/Bebidas/Energéticos e Bebidas Isotônicas;26920;7 - 30
22825 - Celulares e Acessórios/Películas Protetoras/Película de Vidro iPhone;22825;7 - 30
26922 - Alimentos e Bebidas/Bebidas/Sucos;26922;7 - 30
22827 - Celulares e Acessórios/Películas Protetoras/Fosco;22827;7 - 30
24876 - Esporte e Lazer/Moda Esportiva/Jerseys;24876;7 - 30
22829 - Celulares e Acessórios/Películas Protetoras/Outras;22829;7 - 30
24878 - Esporte e Lazer/Moda Esportiva/Bottom Feminino;24878;7 - 30
22831 - Celulares e Acessórios/Películas Protetoras/Privacidade;22831;7 - 30
24880 - Esporte e Lazer/Moda Esportiva/Bottom Masculino;24880;7 - 30
24881 - Esporte e Lazer/Moda Esportiva/Jaqueta ao Ar Livre;24881;7 - 30
22834 - Celulares e Acessórios/Acessórios para Câmeras/Monopé;22834;7 - 30
22835 - Celulares e Acessórios/Acessórios para Câmeras/Outros;22835;7 - 30
22836 - Celulares e Acessórios/Acessórios para Câmeras/Ring light;22836;7 - 30
22837 - Celulares e Acessórios/Acessórios para Câmeras/Persianas e Lentes;22837;7 - 30
22838 - Celulares e Acessórios/Acessórios para Câmeras/Tripé;22838;7 - 30
26935 - Alimentos e Bebidas/Laticínios e Ovos/Tofu;26935;7 - 30
26936 - Alimentos e Bebidas/Padaria/Pães;26936;7 - 30
26937 - Alimentos e Bebidas/Padaria/Bolos e Tortas;26937;7 - 30
26938 - Alimentos e Bebidas/Padaria/Pastelaria;26938;7 - 30
24287 - Celulares e Acessórios/Jogos para Celular/Acessórios;24287;7 - 30
26944 - Video Games/Outros/Outros;26944;7 - 30
26946 - Video Games/Consoles/Playstation;26946;7 - 30
26947 - Video Games/Consoles/Xbox;26947;7 - 30
26948 - Video Games/Consoles/Nintendo;26948;7 - 30
26949 - Video Games/Consoles/Clássicos e Retrô;26949;7 - 30
26950 - Video Games/Consoles/Portáteis;26950;7 - 30
26951 - Video Games/Consoles/Outros;26951;7 - 30
26953 - Video Games/Acessórios e Controles/Playstation;26953;7 - 30
26954 - Video Games/Acessórios e Controles/Xbox;26954;7 - 30
26955 - Video Games/Acessórios e Controles/Nintendo;26955;7 - 30
